filename,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Romance,Thriller
100683.jpg,1,0,0,0,0,0,0,0,0
32093.jpg,1,0,0,0,0,0,0,0,0
398177.jpg,1,0,0,1,0,0,0,0,0
12085.jpg,1,0,0,1,0,0,0,0,0
284274.jpg,1,0,0,0,0,0,0,0,0
52208.jpg,1,0,0,1,0,0,0,0,0
613377.jpg,1,0,0,1,0,0,0,0,0
602666.jpg,1,0,0,1,0,0,0,0,0
39469.jpg,1,0,0,0,0,0,0,0,0
68252.jpg,1,0,0,0,0,0,0,0,0
75796.jpg,1,0,0,0,0,0,0,0,0
79553.jpg,1,0,0,0,0,0,0,0,0
11413.jpg,1,0,0,1,0,0,0,0,0
15939.jpg,1,0,0,0,0,0,0,0,0
41586.jpg,1,0,0,0,0,0,0,0,0
16390.jpg,1,0,0,0,0,0,0,0,0
53136.jpg,1,0,0,0,0,0,0,0,0
443297.jpg,1,0,0,0,0,0,0,0,0
770315.jpg,1,0,0,0,0,0,0,0,1
308165.jpg,1,0,0,0,0,0,0,0,0
205697.jpg,1,0,0,0,0,0,0,0,0
19886.jpg,1,0,0,0,0,0,0,0,0
799710.jpg,1,0,0,0,1,0,0,0,0
341013.jpg,1,0,0,0,0,0,0,0,0
200424.jpg,1,0,0,0,0,0,0,0,0
103236.jpg,1,0,0,0,0,0,0,0,0
91065.jpg,1,0,0,0,0,0,0,0,0
55765.jpg,1,0,0,0,0,0,0,0,0
198444.jpg,1,0,0,0,0,0,0,0,0
134584.jpg,1,0,0,0,0,0,0,0,0
717863.jpg,1,0,0,0,0,0,0,0,0
82575.jpg,1,0,0,0,0,0,0,0,0
534686.jpg,1,0,0,0,0,0,0,0,0
274862.jpg,1,1,0,0,0,0,0,0,0
39102.jpg,1,0,0,0,0,0,0,0,0
758009.jpg,1,0,0,0,0,0,0,0,0
1006462.jpg,1,0,0,0,0,0,0,0,1
393.jpg,1,0,0,0,0,0,0,0,1
629176.jpg,1,0,0,0,0,0,0,0,0
638507.jpg,1,1,0,0,0,0,0,0,0
169.jpg,1,0,0,0,0,0,0,0,1
10515.jpg,1,1,0,0,0,0,0,0,0
305470.jpg,1,1,0,0,0,0,0,0,0
134374.jpg,1,0,0,0,0,0,0,0,0
676.jpg,1,0,0,0,0,1,0,0,0
13387.jpg,1,0,0,0,0,0,0,0,0
53182.jpg,1,0,0,0,0,1,0,0,0
11430.jpg,1,0,0,0,0,0,0,0,0
59859.jpg,1,1,0,0,0,0,0,0,0
324849.jpg,1,0,0,0,0,0,0,0,0
988591.jpg,1,0,0,0,0,0,0,0,0
9495.jpg,1,0,0,0,0,0,0,0,1
13475.jpg,1,1,0,0,0,0,0,0,0
8367.jpg,1,1,0,0,0,1,0,0,0
536115.jpg,1,1,0,0,0,0,0,0,0
592867.jpg,1,0,0,0,0,0,0,0,0
51106.jpg,1,0,0,0,0,0,0,0,1
27350.jpg,1,0,0,0,0,0,0,0,0
95012.jpg,1,0,0,0,0,0,0,0,0
54840.jpg,1,0,0,0,0,0,0,0,0
297460.jpg,1,0,0,0,0,0,0,0,0
44056.jpg,1,0,0,0,0,0,0,0,0
636963.jpg,1,0,0,0,0,0,0,0,0
55873.jpg,1,0,0,0,0,0,0,0,0
554920.jpg,1,0,0,0,0,0,0,0,0
753232.jpg,1,0,0,0,1,0,0,0,0
169934.jpg,1,0,0,0,0,0,0,0,0
969492.jpg,1,0,0,0,0,0,0,0,1
270774.jpg,1,0,0,1,0,0,0,0,0
738652.jpg,1,0,0,0,1,0,0,0,0
948276.jpg,1,0,0,0,1,0,0,0,0
437543.jpg,1,1,0,0,0,0,1,0,0
10829.jpg,1,0,0,1,0,0,0,0,0
19403.jpg,1,0,0,0,1,0,0,0,0
602211.jpg,1,0,0,1,0,0,0,0,0
384798.jpg,1,0,0,0,0,0,0,0,0
9405.jpg,1,0,0,0,0,0,0,0,0
16407.jpg,1,0,0,1,0,0,0,0,0
481563.jpg,1,0,0,0,0,0,0,0,0
9449.jpg,1,0,0,1,0,0,1,0,0
1017163.jpg,1,0,0,0,0,1,0,0,0
154.jpg,1,0,0,0,0,0,0,0,0
1093485.jpg,1,0,0,0,1,0,0,0,0
631132.jpg,1,0,0,0,0,0,1,0,0
42194.jpg,1,0,0,0,1,0,0,0,0
348060.jpg,1,0,0,0,0,0,0,0,0
9710.jpg,1,0,0,0,0,0,0,0,0
16441.jpg,1,0,0,0,0,0,1,0,0
496450.jpg,1,0,0,0,0,0,0,1,0
492336.jpg,1,0,0,0,0,0,0,0,0
25278.jpg,1,0,0,0,0,0,0,0,0
34179.jpg,1,0,0,0,0,0,0,0,0
278358.jpg,1,0,0,0,0,0,0,0,0
14854.jpg,1,0,0,0,0,0,0,0,0
12780.jpg,1,0,0,0,0,0,0,0,0
323675.jpg,1,0,0,0,0,0,0,0,0
5820.jpg,1,0,0,0,0,0,0,0,0
77866.jpg,1,0,0,0,0,0,0,0,0
39468.jpg,1,0,0,0,0,0,0,0,0
24804.jpg,1,0,0,0,0,0,0,0,0
921360.jpg,1,0,0,0,0,0,0,0,0
52316.jpg,1,1,0,0,0,0,0,0,0
18355.jpg,1,0,0,0,0,0,0,0,0
47537.jpg,1,0,0,0,0,0,0,0,0
461615.jpg,1,0,0,1,0,0,0,0,0
14449.jpg,1,0,0,0,0,0,1,0,0
14398.jpg,1,0,0,0,0,0,0,0,0
671039.jpg,1,0,0,0,0,0,0,0,0
10126.jpg,1,0,0,0,0,0,0,0,0
1057001.jpg,1,0,0,0,0,0,0,0,0
361159.jpg,1,0,0,0,0,0,0,0,0
7010.jpg,1,0,0,0,0,0,0,0,0
251749.jpg,1,0,0,0,0,0,1,0,0
11194.jpg,1,1,0,0,0,0,0,0,0
10179.jpg,1,1,0,0,0,0,0,0,0
483686.jpg,1,0,0,0,0,0,0,0,0
51995.jpg,1,0,0,0,0,0,0,0,0
756499.jpg,1,0,0,0,0,0,0,0,0
31533.jpg,1,0,0,0,0,0,0,0,0
332169.jpg,1,0,0,0,0,0,0,0,0
1229455.jpg,1,0,0,0,0,0,0,0,0
315841.jpg,1,0,0,0,0,0,0,0,0
110345.jpg,1,0,0,0,0,0,0,0,0
64202.jpg,1,0,0,0,0,0,0,0,0
19989.jpg,1,0,0,0,0,0,0,0,0
138960.jpg,1,0,0,0,0,0,1,0,0
246594.jpg,1,0,0,0,0,0,0,0,0
35610.jpg,1,0,0,0,0,0,0,0,0
21072.jpg,1,0,0,0,0,0,0,0,0
46736.jpg,1,0,0,0,0,0,0,0,0
18051.jpg,1,0,0,0,0,0,0,0,0
344.jpg,1,0,0,0,0,0,0,0,0
418588.jpg,1,0,0,0,0,0,0,0,0
297708.jpg,1,0,0,0,0,0,0,0,0
630322.jpg,1,0,0,0,0,0,0,0,0
1126128.jpg,1,0,0,0,0,0,0,0,0
388862.jpg,1,0,0,0,0,0,0,0,0
93387.jpg,1,0,0,0,0,0,0,0,0
40170.jpg,1,0,0,0,0,0,1,0,0
10670.jpg,1,0,0,0,0,0,0,0,0
98344.jpg,1,0,0,0,0,1,0,0,0
14842.jpg,1,0,0,0,0,0,0,0,0
26205.jpg,1,0,0,0,0,0,0,0,0
40435.jpg,1,0,0,0,0,0,0,0,0
20676.jpg,1,0,0,0,0,0,0,0,0
480465.jpg,1,0,0,0,0,0,0,0,0
308160.jpg,1,0,0,0,0,0,0,0,0
618354.jpg,1,0,0,0,0,0,0,0,0
569594.jpg,1,0,0,0,0,0,0,0,0
15785.jpg,1,1,0,0,0,0,0,0,0
531900.jpg,1,0,0,0,0,0,0,0,0
334372.jpg,1,0,0,0,0,0,0,0,0
447404.jpg,1,0,0,0,0,0,1,0,0
23483.jpg,1,0,0,0,0,0,0,0,0
759507.jpg,1,0,0,0,0,0,0,0,0
300425.jpg,1,0,0,0,0,0,0,0,0
62476.jpg,1,0,0,0,0,0,0,0,0
531597.jpg,1,0,0,0,0,0,0,0,1
697843.jpg,1,0,0,0,0,0,0,0,0
557.jpg,1,0,0,0,0,0,0,0,0
442845.jpg,1,0,0,0,0,0,0,0,0
39207.jpg,1,0,0,0,0,0,0,0,0
682.jpg,1,0,0,0,0,0,0,0,1
21220.jpg,1,0,0,0,0,0,0,0,0
845343.jpg,1,0,0,0,0,0,0,0,0
68742.jpg,1,0,0,0,0,0,0,0,0
31594.jpg,1,0,0,0,0,0,0,0,0
623409.jpg,1,0,0,0,0,0,0,0,0
601493.jpg,1,0,0,0,0,0,0,0,0
606599.jpg,1,0,0,0,0,0,0,0,0
28983.jpg,1,0,0,0,0,0,0,0,0
54287.jpg,1,0,0,0,0,0,0,0,0
24230.jpg,1,0,0,0,0,0,0,0,0
4857.jpg,1,0,0,0,0,0,0,0,0
273238.jpg,1,0,0,0,0,0,0,0,0
492684.jpg,1,0,0,0,0,0,0,0,0
24351.jpg,1,0,0,0,0,0,0,0,0
13197.jpg,1,0,0,0,0,0,0,0,0
260063.jpg,1,0,0,0,0,0,0,0,0
496274.jpg,1,0,0,0,0,0,0,0,0
81870.jpg,1,0,0,0,0,0,0,0,0
116613.jpg,1,0,0,0,0,0,0,0,0
31623.jpg,1,0,0,0,0,0,0,0,0
37059.jpg,1,0,0,0,0,0,0,0,0
16820.jpg,1,0,0,0,0,0,0,0,0
431808.jpg,1,0,0,0,0,0,0,0,0
267228.jpg,1,0,0,0,0,0,0,0,0
543033.jpg,1,0,0,0,0,0,0,0,0
97512.jpg,1,0,0,0,0,0,0,0,0
19728.jpg,1,1,0,0,0,0,0,0,0
516700.jpg,1,0,0,0,0,0,0,0,0
63721.jpg,1,0,0,0,0,0,0,0,0
10026.jpg,1,0,0,0,0,0,0,0,0
54007.jpg,1,1,0,0,0,0,0,0,0
9874.jpg,1,0,0,0,0,0,0,0,0
691.jpg,1,0,0,0,0,0,0,0,0
221731.jpg,1,0,0,0,0,0,0,0,0
9423.jpg,1,0,0,0,0,0,0,0,0
38780.jpg,1,0,0,0,0,0,0,0,1
12613.jpg,1,0,0,0,0,0,0,0,0
14011.jpg,1,0,0,0,0,0,0,0,0
1535.jpg,1,0,0,0,0,0,0,0,1
354857.jpg,1,0,0,0,0,0,0,0,0
587030.jpg,1,0,0,0,0,0,0,0,0
43605.jpg,1,0,0,0,0,0,0,0,0
22590.jpg,1,0,0,0,0,0,0,0,0
212262.jpg,1,0,0,0,0,0,0,0,0
314.jpg,1,0,0,0,1,0,1,0,0
872542.jpg,1,0,0,0,0,0,0,0,1
40740.jpg,1,0,0,0,0,0,0,0,0
50482.jpg,1,0,0,0,0,0,0,0,0
213015.jpg,1,0,0,0,0,0,0,0,0
11028.jpg,1,0,0,0,0,0,0,0,0
695282.jpg,1,0,0,0,0,0,0,0,0
48417.jpg,1,0,0,0,0,0,0,0,0
442133.jpg,1,0,0,0,0,0,0,0,0
4034.jpg,1,0,0,0,0,0,0,0,0
32517.jpg,1,0,0,0,0,0,0,0,0
22314.jpg,1,0,0,0,0,0,0,0,0
11918.jpg,1,0,0,0,0,0,0,0,0
21332.jpg,1,0,0,0,0,0,0,0,0
36555.jpg,1,0,0,0,0,0,0,0,0
121442.jpg,1,0,0,0,0,0,0,0,0
40180.jpg,1,0,0,0,0,0,0,0,0
727097.jpg,1,0,0,0,0,0,0,0,0
160182.jpg,1,0,0,0,0,0,0,0,0
28678.jpg,1,0,0,0,0,0,0,0,0
551115.jpg,1,0,0,0,0,0,0,0,1
46562.jpg,1,0,0,0,0,0,0,0,0
11606.jpg,1,0,0,0,0,0,0,0,1
39751.jpg,1,0,0,0,0,0,0,0,0
4968.jpg,1,0,0,0,1,0,0,0,0
111509.jpg,1,0,0,0,0,0,0,0,0
389231.jpg,1,0,0,0,0,0,0,0,0
52011.jpg,1,0,0,0,0,0,0,0,0
20968.jpg,1,0,0,0,1,0,0,0,0
588285.jpg,1,0,0,0,0,0,1,0,0
95334.jpg,1,0,0,0,0,0,0,0,0
163879.jpg,1,0,0,0,1,0,0,0,0
156054.jpg,1,0,0,0,0,0,1,0,0
19658.jpg,1,0,0,0,0,0,0,0,0
551499.jpg,1,0,0,0,0,0,0,0,0
39002.jpg,1,0,0,0,0,0,0,0,0
1034158.jpg,1,0,0,0,0,0,0,0,0
382751.jpg,1,0,0,0,0,0,0,0,0
30289.jpg,1,0,0,0,0,0,0,0,0
1240592.jpg,1,0,0,0,0,0,0,0,0
1205021.jpg,1,0,0,0,0,0,0,0,0
550093.jpg,1,0,0,0,0,0,0,0,0
339562.jpg,1,0,0,0,0,0,0,0,0
28019.jpg,1,0,0,0,0,0,0,0,0
67203.jpg,1,0,0,0,0,0,0,0,0
11693.jpg,1,0,0,0,0,0,0,0,0
40223.jpg,1,0,0,0,0,0,0,0,0
250551.jpg,1,0,0,0,0,0,0,0,0
646315.jpg,1,0,0,0,0,0,0,0,0
2911.jpg,1,0,0,0,0,0,0,0,0
375290.jpg,1,0,0,0,0,0,0,0,0
291613.jpg,1,0,0,0,0,0,0,0,0
695973.jpg,1,0,0,0,0,0,0,0,0
37134.jpg,1,0,0,0,0,0,0,0,0
35632.jpg,1,1,0,0,0,0,0,0,0
180651.jpg,1,0,0,0,0,0,0,0,0
30814.jpg,1,0,0,0,0,0,0,0,0
28989.jpg,1,0,0,0,0,0,0,0,0
1161406.jpg,1,0,0,0,0,0,0,0,0
38187.jpg,1,0,0,0,0,0,0,0,0
340835.jpg,1,0,0,0,0,0,0,0,0
75930.jpg,1,1,0,0,0,0,0,0,0
856742.jpg,1,0,0,0,0,0,0,0,0
200708.jpg,1,0,0,0,0,0,0,0,0
15975.jpg,1,0,0,0,0,0,0,0,0
19257.jpg,1,0,0,0,0,0,0,0,0
332411.jpg,1,0,0,0,0,1,0,0,1
717192.jpg,1,0,0,0,0,1,0,0,0
13612.jpg,1,0,0,0,0,0,0,0,0
360387.jpg,1,0,0,0,0,1,0,0,0
31297.jpg,1,0,0,0,0,0,0,0,0
45408.jpg,1,0,0,0,0,0,0,0,1
452323.jpg,1,0,0,0,0,0,0,0,0
40095.jpg,1,0,0,0,0,0,0,0,0
30618.jpg,1,0,0,0,0,0,0,0,0
36897.jpg,1,0,1,0,0,0,0,0,0
442065.jpg,1,0,0,0,0,0,0,0,0
258750.jpg,1,0,0,0,0,0,0,0,0
6935.jpg,1,0,0,0,0,0,0,0,0
6058.jpg,1,0,0,0,0,0,0,0,0
429471.jpg,1,0,0,0,0,0,0,0,0
567801.jpg,1,0,0,1,0,0,0,0,0
19096.jpg,1,0,0,0,0,0,0,0,0
65374.jpg,1,0,0,1,0,0,0,0,0
419548.jpg,1,0,0,0,0,0,0,0,0
39158.jpg,1,0,0,0,0,0,0,0,0
357390.jpg,1,0,0,0,0,0,0,0,0
297637.jpg,1,0,0,0,0,0,0,0,0
20848.jpg,1,0,0,0,0,0,0,1,0
398826.jpg,1,0,0,0,0,0,0,0,0
40081.jpg,1,0,0,0,0,0,0,0,0
50341.jpg,1,0,0,0,0,0,0,0,0
978436.jpg,1,0,0,0,0,0,0,0,0
29014.jpg,1,0,0,0,0,0,0,0,0
20304.jpg,1,0,0,0,0,0,0,0,0
256092.jpg,1,0,0,0,0,0,0,0,0
31672.jpg,1,0,0,0,0,0,0,0,0
71142.jpg,1,0,0,0,0,0,0,0,0
486606.jpg,1,0,0,0,0,0,0,0,0
320997.jpg,1,0,0,0,0,0,0,0,0
51422.jpg,1,0,0,0,0,0,0,0,0
254304.jpg,1,0,0,0,0,0,0,0,0
1148694.jpg,1,0,0,0,0,0,0,0,0
572802.jpg,1,1,0,0,0,0,1,0,0
187391.jpg,1,0,0,0,0,0,0,0,0
74012.jpg,1,0,0,0,0,0,0,0,0
1025576.jpg,1,0,0,0,0,0,0,0,0
1943.jpg,1,0,0,0,0,0,0,0,0
111475.jpg,1,0,0,0,0,0,0,0,0
84729.jpg,1,0,0,0,0,0,0,0,0
61666.jpg,1,0,0,0,0,0,0,0,0
405038.jpg,1,0,0,0,0,0,0,0,0
291851.jpg,1,0,0,0,0,0,0,0,0
913689.jpg,1,0,0,0,0,0,0,0,0
242643.jpg,1,0,0,0,1,0,0,0,0
2926.jpg,1,0,0,0,0,0,0,0,0
7459.jpg,1,0,0,0,0,0,0,0,0
19464.jpg,1,0,0,0,0,0,0,0,0
1121575.jpg,1,0,0,0,0,0,0,0,0
11286.jpg,1,0,0,0,0,0,0,0,0
10336.jpg,1,0,0,0,0,0,1,0,0
15417.jpg,1,0,0,0,0,0,0,0,0
360249.jpg,1,0,0,0,0,0,0,0,0
657644.jpg,1,0,0,0,0,0,1,0,0
10173.jpg,1,0,0,0,0,0,0,0,0
1157049.jpg,1,0,0,0,0,0,0,0,0
76589.jpg,1,0,0,0,0,0,0,0,0
44092.jpg,1,0,0,0,0,0,0,0,0
396450.jpg,1,0,0,0,1,0,0,0,0
9838.jpg,1,0,0,0,0,0,0,0,0
6038.jpg,1,0,0,0,0,0,0,0,0
10628.jpg,1,0,0,0,0,0,0,0,0
365222.jpg,1,0,0,0,0,0,0,0,0
7516.jpg,1,0,0,0,0,0,0,0,0
59965.jpg,1,0,0,0,0,0,0,0,0
12160.jpg,1,0,0,0,0,0,0,0,0
965244.jpg,1,0,0,0,0,0,0,0,0
44865.jpg,1,0,0,0,0,0,0,0,0
436391.jpg,1,0,0,0,0,0,0,0,0
10798.jpg,1,0,0,0,0,0,0,0,0
1152797.jpg,1,0,0,0,1,0,0,0,0
12500.jpg,1,0,0,0,0,0,0,0,0
154501.jpg,1,0,0,0,0,0,0,0,0
799155.jpg,1,0,0,0,0,0,0,0,1
693134.jpg,1,1,0,0,0,0,0,0,0
329833.jpg,1,1,0,0,0,0,0,0,0
11968.jpg,1,1,0,0,1,0,0,0,0
171581.jpg,1,0,0,0,0,0,0,0,0
49021.jpg,1,1,0,0,0,0,0,0,0
19545.jpg,1,1,0,0,0,0,0,0,0
1577.jpg,1,0,0,0,0,0,0,0,0
62206.jpg,1,1,0,0,0,0,0,0,0
42360.jpg,1,1,0,0,0,0,0,0,0
644092.jpg,1,1,0,0,0,0,0,0,0
785985.jpg,1,0,0,0,0,0,0,0,0
9705.jpg,1,0,0,0,0,0,0,0,0
9457.jpg,1,1,0,0,0,0,0,0,0
9826.jpg,1,1,0,0,0,0,0,0,0
172.jpg,1,1,0,0,0,0,0,0,0
97430.jpg,1,0,0,0,0,0,0,0,0
48138.jpg,1,0,0,0,0,0,0,0,0
150.jpg,1,0,0,0,1,1,0,0,0
512901.jpg,1,0,0,0,0,0,0,0,0
