filename,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Romance,Thriller
940721.jpg,1,0,0,0,0,0,0,0,0
23631.jpg,1,0,0,1,0,0,0,0,1
136795.jpg,1,0,0,1,1,0,0,0,0
83088.jpg,1,0,1,0,0,0,1,0,0
88751.jpg,1,1,0,1,0,0,0,0,0
39103.jpg,1,0,1,0,0,0,0,0,0
9312.jpg,1,0,0,0,0,0,1,0,0
340022.jpg,1,0,0,1,1,0,0,0,0
68735.jpg,1,1,0,0,0,0,1,0,0
588108.jpg,1,0,0,0,0,1,0,0,0
617502.jpg,1,0,0,0,0,0,0,0,1
932420.jpg,1,0,0,0,1,0,0,0,0
346.jpg,1,0,0,0,0,1,0,0,0
59962.jpg,1,0,0,1,0,0,0,1,0
9693.jpg,1,0,0,0,0,1,0,0,1
755566.jpg,1,0,0,1,0,0,1,0,0
9323.jpg,1,0,1,0,0,0,0,0,0
260346.jpg,1,0,0,0,0,0,0,0,1
429617.jpg,1,1,0,0,0,0,0,0,0
13183.jpg,1,0,0,0,0,0,0,0,0
72190.jpg,1,0,0,0,0,1,0,0,1
116776.jpg,1,0,1,0,0,0,0,0,0
427641.jpg,1,1,0,0,0,0,0,0,0
899445.jpg,1,0,0,0,0,0,0,0,1
1368.jpg,1,1,0,0,0,0,0,0,1
384018.jpg,1,1,0,1,0,0,0,0,0
156022.jpg,1,0,0,0,1,0,0,0,1
43074.jpg,1,0,0,1,0,0,1,0,0
9471.jpg,1,1,0,1,0,0,0,0,0
8078.jpg,1,0,0,0,0,0,0,0,0
931642.jpg,1,0,0,0,0,0,0,0,1
557.jpg,1,0,0,0,0,0,0,0,0
602.jpg,1,1,0,0,0,0,0,0,0
718930.jpg,1,0,0,1,0,0,0,0,1
36557.jpg,1,1,0,0,0,0,0,0,1
49046.jpg,1,0,0,0,0,1,0,0,0
455476.jpg,1,1,0,0,0,0,1,0,0
900667.jpg,1,1,1,0,0,0,1,0,0
739405.jpg,1,1,0,1,0,0,0,0,1
812225.jpg,1,1,1,0,0,0,1,0,0
9495.jpg,1,0,0,0,0,0,1,0,1
49529.jpg,1,1,0,0,0,0,0,0,0
545742.jpg,1,1,1,1,0,0,0,0,0
57158.jpg,1,1,0,0,0,0,1,0,0
375588.jpg,1,1,0,0,0,0,0,0,1
297762.jpg,1,1,0,0,0,0,1,0,0
101299.jpg,1,1,0,0,0,0,0,0,0
334521.jpg,1,0,0,0,1,0,0,0,0
956.jpg,1,1,0,0,0,0,0,0,1
1579.jpg,1,0,0,0,0,1,0,0,0
39323.jpg,1,0,1,0,0,1,1,0,0
39108.jpg,1,0,1,0,0,0,0,0,0
539972.jpg,1,1,0,0,0,0,0,0,0
47933.jpg,1,1,0,0,0,0,0,0,0
718821.jpg,1,1,0,0,0,1,0,0,0
274857.jpg,1,0,0,0,0,1,1,0,0
586810.jpg,1,0,1,0,0,0,0,0,0
325358.jpg,1,0,0,1,0,0,0,0,0
1211957.jpg,1,0,0,0,0,0,0,0,1
676.jpg,1,0,0,0,0,1,0,1,0
