filename,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Romance,Thriller
32093.jpg,1,0,0,0,0,0,0,0,0
398177.jpg,1,0,0,1,0,0,0,0,0
284274.jpg,1,0,0,0,0,0,0,0,0
52208.jpg,1,0,0,1,0,0,0,0,0
602666.jpg,1,0,0,1,0,0,0,0,0
39469.jpg,1,0,0,0,0,0,0,0,0
75796.jpg,1,0,0,0,0,0,0,0,0
79553.jpg,1,0,0,0,0,0,0,0,0
15939.jpg,1,0,0,0,0,0,0,0,0
41586.jpg,1,0,0,0,0,0,0,0,0
53136.jpg,1,0,0,0,0,0,0,0,0
443297.jpg,1,0,0,0,0,0,0,0,0
308165.jpg,1,0,0,0,0,0,0,0,0
205697.jpg,1,0,0,0,0,0,0,0,0
799710.jpg,1,0,0,0,1,0,0,0,0
341013.jpg,1,0,0,0,0,0,0,0,0
103236.jpg,1,0,0,0,0,0,0,0,0
91065.jpg,1,0,0,0,0,0,0,0,0
198444.jpg,1,0,0,0,0,0,0,0,0
134584.jpg,1,0,0,0,0,0,0,0,0
82575.jpg,1,0,0,0,0,0,0,0,0
534686.jpg,1,0,0,0,0,0,0,0,0
39102.jpg,1,0,0,0,0,0,0,0,0
758009.jpg,1,0,0,0,0,0,0,0,0
393.jpg,1,0,0,0,0,0,0,0,1
629176.jpg,1,0,0,0,0,0,0,0,0
169.jpg,1,0,0,0,0,0,0,0,1
10515.jpg,1,1,0,0,0,0,0,0,0
134374.jpg,1,0,0,0,0,0,0,0,0
676.jpg,1,0,0,0,0,1,0,0,0
53182.jpg,1,0,0,0,0,1,0,0,0
11430.jpg,1,0,0,0,0,0,0,0,0
324849.jpg,1,0,0,0,0,0,0,0,0
988591.jpg,1,0,0,0,0,0,0,0,0
13475.jpg,1,1,0,0,0,0,0,0,0
8367.jpg,1,1,0,0,0,1,0,0,0
592867.jpg,1,0,0,0,0,0,0,0,0
51106.jpg,1,0,0,0,0,0,0,0,1
95012.jpg,1,0,0,0,0,0,0,0,0
54840.jpg,1,0,0,0,0,0,0,0,0
44056.jpg,1,0,0,0,0,0,0,0,0
636963.jpg,1,0,0,0,0,0,0,0,0
554920.jpg,1,0,0,0,0,0,0,0,0
753232.jpg,1,0,0,0,1,0,0,0,0
969492.jpg,1,0,0,0,0,0,0,0,1
270774.jpg,1,0,0,1,0,0,0,0,0
948276.jpg,1,0,0,0,1,0,0,0,0
437543.jpg,1,1,0,0,0,0,1,0,0
19403.jpg,1,0,0,0,1,0,0,0,0
602211.jpg,1,0,0,1,0,0,0,0,0
9405.jpg,1,0,0,0,0,0,0,0,0
16407.jpg,1,0,0,1,0,0,0,0,0
9449.jpg,1,0,0,1,0,0,1,0,0
1017163.jpg,1,0,0,0,0,1,0,0,0
1093485.jpg,1,0,0,0,1,0,0,0,0
631132.jpg,1,0,0,0,0,0,1,0,0
348060.jpg,1,0,0,0,0,0,0,0,0
9710.jpg,1,0,0,0,0,0,0,0,0
496450.jpg,1,0,0,0,0,0,0,1,0
492336.jpg,1,0,0,0,0,0,0,0,0
34179.jpg,1,0,0,0,0,0,0,0,0
278358.jpg,1,0,0,0,0,0,0,0,0
12780.jpg,1,0,0,0,0,0,0,0,0
323675.jpg,1,0,0,0,0,0,0,0,0
77866.jpg,1,0,0,0,0,0,0,0,0
39468.jpg,1,0,0,0,0,0,0,0,0
921360.jpg,1,0,0,0,0,0,0,0,0
52316.jpg,1,1,0,0,0,0,0,0,0
47537.jpg,1,0,0,0,0,0,0,0,0
461615.jpg,1,0,0,1,0,0,0,0,0
14398.jpg,1,0,0,0,0,0,0,0,0
671039.jpg,1,0,0,0,0,0,0,0,0
1057001.jpg,1,0,0,0,0,0,0,0,0
361159.jpg,1,0,0,0,0,0,0,0,0
251749.jpg,1,0,0,0,0,0,1,0,0
11194.jpg,1,1,0,0,0,0,0,0,0
483686.jpg,1,0,0,0,0,0,0,0,0
51995.jpg,1,0,0,0,0,0,0,0,0
31533.jpg,1,0,0,0,0,0,0,0,0
332169.jpg,1,0,0,0,0,0,0,0,0
315841.jpg,1,0,0,0,0,0,0,0,0
110345.jpg,1,0,0,0,0,0,0,0,0
19989.jpg,1,0,0,0,0,0,0,0,0
138960.jpg,1,0,0,0,0,0,1,0,0
35610.jpg,1,0,0,0,0,0,0,0,0
21072.jpg,1,0,0,0,0,0,0,0,0
18051.jpg,1,0,0,0,0,0,0,0,0
344.jpg,1,0,0,0,0,0,0,0,0
297708.jpg,1,0,0,0,0,0,0,0,0
630322.jpg,1,0,0,0,0,0,0,0,0
