filename,Action,Adventure,Animation,Comedy,Crime,Drama,Fantasy,Romance,Thriller
23631.jpg,1,0,0,1,0,0,0,0,1
136795.jpg,1,0,0,1,1,0,0,0,0
83088.jpg,1,0,1,0,0,0,1,0,0
88751.jpg,1,1,0,1,0,0,0,0,0
39103.jpg,1,0,1,0,0,0,0,0,0
9312.jpg,1,0,0,0,0,0,1,0,0
932420.jpg,1,0,0,0,1,0,0,0,0
346.jpg,1,0,0,0,0,1,0,0,0
59962.jpg,1,0,0,1,0,0,0,1,0
9693.jpg,1,0,0,0,0,1,0,0,1
755566.jpg,1,0,0,1,0,0,1,0,0
9323.jpg,1,0,1,0,0,0,0,0,0
116776.jpg,1,0,1,0,0,0,0,0,0
427641.jpg,1,1,0,0,0,0,0,0,0
899445.jpg,1,0,0,0,0,0,0,0,1
1368.jpg,1,1,0,0,0,0,0,0,1
384018.jpg,1,1,0,1,0,0,0,0,0
156022.jpg,1,0,0,0,1,0,0,0,1
557.jpg,1,0,0,0,0,0,0,0,0
602.jpg,1,1,0,0,0,0,0,0,0
718930.jpg,1,0,0,1,0,0,0,0,1
36557.jpg,1,1,0,0,0,0,0,0,1
49046.jpg,1,0,0,0,0,1,0,0,0
455476.jpg,1,1,0,0,0,0,1,0,0
49529.jpg,1,1,0,0,0,0,0,0,0
545742.jpg,1,1,1,1,0,0,0,0,0
57158.jpg,1,1,0,0,0,0,1,0,0
375588.jpg,1,1,0,0,0,0,0,0,1
297762.jpg,1,1,0,0,0,0,1,0,0
101299.jpg,1,1,0,0,0,0,0,0,0
39108.jpg,1,0,1,0,0,0,0,0,0
539972.jpg,1,1,0,0,0,0,0,0,0
47933.jpg,1,1,0,0,0,0,0,0,0
718821.jpg,1,1,0,0,0,1,0,0,0
274857.jpg,1,0,0,0,0,1,1,0,0
586810.jpg,1,0,1,0,0,0,0,0,0
44251.jpg,1,0,1,0,0,0,0,0,0
7485.jpg,1,0,0,0,0,1,0,0,1
1924.jpg,1,1,0,0,0,0,0,0,0
20526.jpg,1,1,0,0,0,0,0,0,0
81188.jpg,1,1,1,0,0,0,1,0,0
81005.jpg,1,1,0,0,0,1,1,0,0
475946.jpg,1,0,1,0,0,0,0,0,0
296.jpg,1,0,0,0,0,0,0,0,1
832074.jpg,1,0,0,0,0,0,0,0,0
51620.jpg,1,0,0,0,0,0,0,0,1
24752.jpg,1,0,1,0,0,0,0,0,0
207932.jpg,1,0,0,0,0,0,0,0,1
141052.jpg,1,1,0,0,0,0,0,0,0
1057001.jpg,1,0,0,0,0,1,0,0,1
554972.jpg,1,0,0,0,1,0,0,0,1
551271.jpg,1,0,0,0,0,1,0,0,0
979275.jpg,1,0,0,0,1,0,0,0,1
316042.jpg,1,0,0,0,0,1,0,0,1
38669.jpg,1,1,0,0,0,1,0,0,1
417644.jpg,1,0,0,1,1,0,0,0,0
11412.jpg,1,0,0,0,1,0,0,0,1
9945.jpg,1,0,0,0,0,0,1,0,0
857879.jpg,1,1,0,0,0,0,0,0,0
9802.jpg,1,1,0,0,0,0,0,0,1
136400.jpg,1,0,0,1,1,0,0,0,0
2119.jpg,1,1,0,0,0,1,0,0,0
1072589.jpg,1,0,0,0,0,0,0,1,1
514999.jpg,1,0,0,1,0,0,0,0,0
1493.jpg,1,0,0,1,1,0,0,0,0
166680.jpg,1,1,0,0,0,1,0,0,0
2135.jpg,1,1,0,0,0,0,0,0,0
268531.jpg,1,0,1,1,0,0,0,0,0
831946.jpg,1,1,0,0,0,0,0,0,1
500919.jpg,1,0,0,0,1,0,0,0,1
569094.jpg,1,1,1,0,0,0,0,0,0
23446.jpg,1,1,1,0,0,0,0,0,0
9056.jpg,1,0,0,0,1,0,0,0,1
9651.jpg,1,1,0,0,0,0,1,0,0
9562.jpg,1,1,0,0,0,0,0,0,0
25676.jpg,1,0,0,1,0,1,0,0,0
200085.jpg,1,1,0,0,0,0,0,0,0
619329.jpg,1,0,0,0,0,1,0,0,0
916.jpg,1,0,0,0,1,1,0,1,1
961.jpg,1,1,0,1,0,0,0,0,0
10216.jpg,1,0,0,0,0,0,0,0,0
1911.jpg,1,1,0,0,0,0,0,0,0
178809.jpg,1,0,0,0,0,0,0,0,1
1104844.jpg,1,0,1,0,0,1,0,0,0
9462.jpg,1,0,0,0,1,0,0,0,0
205775.jpg,1,1,0,0,0,1,0,0,1
270774.jpg,1,0,0,1,0,0,0,0,1
29427.jpg,1,0,0,0,0,0,0,0,0
592508.jpg,1,0,0,0,1,0,0,0,1
903.jpg,1,0,0,0,1,1,0,0,0
